Title,Link,Occupations,Companies,Company_location,Sepcs
Pharmaceutical Research Specialist,https://wuzzuf.net/jobs/p/g/himMzko8OnZ4-Pharmaceutical-Research-Specialist-TalentFusion-Solutions-Kuwait-City-Kuwait,Full Time,TalentFusion Solutions,"<span class=""css-5wys0k"">Kuwait City, <!-- -->Kuwait </span>",Full TimeExperienced · R&D/Science · Analyst/Research · Pharmaceutical · Pharmacy · Research · Pharmaceutical · Science · Market Research · Microsoft Office · Analysis
Cost Estimation Specialist,https://wuzzuf.net/jobs/p/g/KRmyaoK7vag3-Cost-Estimation-Specialist-QatarEnergy-LNG-Doha-Qatar,Full Time,QatarEnergy LNG,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Full TimeEntry Level · Accounting/Finance · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering · Civil Engineering · Construction · Cost Estimation · Tendering · Accounting · Cost Control
Junior Controller - Intern,https://wuzzuf.net/jobs/p/g/9AVfPEtvZVFj-Junior-Controller---Intern-DHL-Global-Forwarding-Dubai-United-Arab-Emirates,Full Time,DHL Global Forwarding,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeStudent · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Engineering · Software Testing · Quality Assurance · Computer Science · Information Technology (IT) · Microsoft Office
Director OF Sales,https://wuzzuf.net/jobs/p/1nGbOANjWAFT-Director-OF-Sales-golden-group-Cairo-Egypt,Full TimeOn-site,golden group,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteSenior Management · 5 - 15 Yrs of Exp · Operations/Management · Sales/Retail · Sales · Marketing · Sales Target · sales skills
Business Development Manager,https://wuzzuf.net/jobs/p/KD8KVzcrA06J-Business-Development-Manager-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 15+ Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · business · Development · Administration · B2B Sales · B2B Marketing · B2B
senior quality assurance specialist (KSA),https://wuzzuf.net/jobs/p/ZdmAcCckSHaz-senior-quality-assurance-specialist-KSA-Exception-Patisserie-Riyadh-Saudi-Arabia,Full TimeOn-site,Exception Patisserie,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Manufacturing/Production · Quality · quality · Quality Assurance · Quality Control · QA · Food Manufacturing · Food Science · Food Safety Management System
Continuous Improvement Engineer,https://wuzzuf.net/jobs/p/0FnYTdSIzZ6d-Continuous-Improvement-Engineer-Jade-Textile-Egypt-Alexandria-Egypt,Full TimeOn-site,Jade Textile Egypt,"<span class=""css-5wys0k"">Bourj Alarab, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Quality · Continuous Improvement · Engineering · Industrial · Six Sigma · quality · Process · Manufacturing
Audit & Assurance | Audit Manager | UAE,https://wuzzuf.net/jobs/p/g/KG0mLaYEUNLe-Audit-Assurance-Audit-Manager-UAE-Deloitte-Dubai-United-Arab-Emirates,Full Time,Deloitte,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · Accounting/Finance · Operations/Management · Quality · Accounting · Auditing · Finance · Financial Analysis · Financial Management · Commerce · Microsoft Office
Brand Manager,https://wuzzuf.net/jobs/p/c74HhQ2StgVd-Brand-Manager-Lazurde-for-Jewelry-Cairo-Egypt,Full TimeOn-site,L'azurde for Jewelry,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Brand Management · Branding · Communication · Management · Project Management · Social Media · Digital Marketing · Marketing
Modern Trade / HORECA Sales Team Leader,https://wuzzuf.net/jobs/p/Ctlruco2oHXn-Modern-Trade-HORECA-Sales-Team-Leader-Mekano-Cairo-Egypt,Full TimeOn-site,Mekano,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 8 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Sales/Retail · Business Administration · Sales · Marketing · Communication · ERP · FMCG · Odoo · Negotiation
Cost Controller,https://wuzzuf.net/jobs/p/tcnlq3wEpbwB-Cost-Controller-MedVAlley-S-A-E-Cairo-Egypt,Full TimeOn-site,MedVAlley S.A.E,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · Cost Control · Cost · Cost Accounting · Finance
Executive Secretary to The Chairman,https://wuzzuf.net/jobs/p/gpr0OslmIgQG-Executive-Secretary-to-The-Chairman-Sharm-Dreams-Group-Giza-Egypt,Full TimeOn-site,Sharm Dreams Group,"<span class=""css-5wys0k"">Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5+ Yrs of Exp · Administration · Operations/Management · Administration · Office management · Executive Assistant
Contact Center Representative,https://wuzzuf.net/jobs/p/W4QWw6Vgv4pz-Contact-Center-Representative-MedVAlley-S-A-E-Cairo-Egypt,Full TimeShift BasedHybrid,MedVAlley S.A.E,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeShift BasedHybridExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Contact Center · Customer Care · Social Media · Call Center · Customer Support · Customer Service
Business Director,https://wuzzuf.net/jobs/p/g/eMaArI0v2Uaw-Business-Director-Bloomberg-Dubai-United-Arab-Emirates,Full Time,Bloomberg,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeManager · Business Development · Operations/Management · Sales/Retail · Marketing · Business Development · Sales · Management · Business Administration · Sales Skills · Director
HR Business Partner,https://wuzzuf.net/jobs/p/gnrpb4hj5rM6-HR-Business-Partner-Si-Vision-Cairo-Egypt,Full TimeOn-site, Si-Vision,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · Business Development · Human Resources · Human Resources · Human Resources (HR) · Recruitment · Communication · Development · Microsoft Office · Training · HR
Marketing Content Creator SEO,https://wuzzuf.net/internship/whNLraW3CS8x-Marketing-Content-Creator-SEO-Mirrorful-Cairo-Egypt,InternshipHybrid,Mirrorful,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",InternshipHybridEntry Level · Marketing/PR/Advertising · Communication · Content Marketing · Digital · Digital Marketing · Google Analytics · digital marketing · SEO · Communication skills · Social Media
AML & Underwriting Analyst,https://wuzzuf.net/jobs/p/oQ8K5CYy2gpi-AML-Underwriting-Analyst-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt,Full TimeOn-site,Fawry for Banking Technology and Electronic Payments S.A.E,"<span class=""css-5wys0k"">Smart Village, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Underwriting · AML · KYC · Reporting · Microsoft Excel · Access skills · Accounting · Auditing
QNB3032-Associate Branch Administration (Qatarization),https://wuzzuf.net/jobs/p/g/ecRQfacQetTU-QNB3032-Associate-Branch-Administration-Qatarization-QNB-Group-Doha-Qatar,Full Time,QNB Group,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Full TimeEntry Level · Administration · Customer Service/Support · Sales/Retail · customer service · administration · business administration · management · marketing · communication · economics
Furnace Engineer,https://wuzzuf.net/jobs/p/aqpBie4VpP10-Furnace-Engineer-MA-Glass-Processing-Company-Giza-Egypt,Full TimeOn-site,M&A Glass Processing Company,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · furnace · Manufacturing · Mechanical Engineering · Electrical Engineering · Industrial · Engineering
Director of Learning & Development,https://wuzzuf.net/jobs/p/g/OZVSxY2DVCpD-Director-of-Learning-Development-Shangri-La-Group-Dubai-United-Arab-Emirates,Full Time,Shangri-La Group,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeManager · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · software development · marketing · design · management · training
E-Commerce Section Head,https://wuzzuf.net/jobs/p/Dk8OOOQpRYAz-E-Commerce-Section-Head-Midea-Group-Giza-Egypt,Full TimeOn-site,Midea Group,"<span class=""css-5wys0k"">Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Communication skills · E-Commerce · English · Sales · Online Sales · Home Appliances · HA
Bioinformatician,https://wuzzuf.net/jobs/p/g/lVDUG3KI9c1L-Bioinformatician-Lifera-Riyadh-Saudi-Arabia,Full Time,Lifera,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · ai · analysis · artificial intelligence · bio-information · research
Electrical Engineer,https://wuzzuf.net/jobs/p/wCiejf5ohrZO-Electrical-Engineer-International-co-for-Electrical-Electronic-Industries-Electro-George-Giza-Egypt,Full TimeOn-site,International co for Electrical & Electronic Industries Electro George,"<span class=""css-5wys0k"">Abu Rawash, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteSenior Management · 2 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy · Engineering - Other · Design · Electrical · Electrical Engineering · Electrical manufacturing · Mechanical Engineering · Engineering · Safety
Payroll Specialist,https://wuzzuf.net/jobs/p/Bf4CrHPRZULW-Payroll-Specialist-Vision-Cosmetics-Cairo-Egypt,Full TimeOn-site,Vision Cosmetics,"<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Human Resources · Compensation · Human Resources (HR) · excel · Payroll · Benefits · Communication skills · MS Office · English · Human Resources
Account Manager,https://wuzzuf.net/jobs/p/g/sRWMpcn8U2fx-Account-Manager-MAZ-NEXA-Riyadh-Saudi-Arabia,Full Time,MAZ NEXA,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeEntry Level · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Sales · Sales Skills · Customer Service · Sales Target · Customer Support · Customer Care · Account Management
MS365 Senior Engineer,https://wuzzuf.net/jobs/p/B70YKoe2zZOu-MS365-Senior-Engineer-B-Link-Technologies-Cairo-Egypt,Full TimeRemote,B-Link Technologies,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · English · Information Technology (IT)
Sales Manager,https://wuzzuf.net/jobs/p/ga9Z2peHKjLq-Sales-Manager-Mahjoz-Cairo-Egypt,Full TimeRemote,Mahjoz,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteManager · 5 - 10 Yrs of Exp · Sales/Retail · Sales · Sales Manager · sales skills · Sales Target · Administration · Business Administration · CRM · Communication · Customer Service
"Lead, Active Defense",https://wuzzuf.net/jobs/p/g/tsha1PcSTxhR-Lead-Active-Defense-QatarEnergy-Doha-Qatar,Full Time,QatarEnergy,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Full TimeExperienced · IT/Software Development · Marketing/PR/Advertising · Sales/Retail · sales · sales skills · sales target · marketing · engineering · computer science · management
Quality Control Specialist (Herbs and Spices),https://wuzzuf.net/jobs/p/4c4KNdofoG7o-Quality-Control-Specialist-Herbs-and-Spices-Glamour-Export-Cairo-Egypt,Full TimeOn-site,Glamour Export ,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Quality · Quality Control · Quality Assurance · food safety · Food · Science
MD PA (Personal Assistant),https://wuzzuf.net/jobs/p/srtLS8XSxgWj-MD-PA-Personal-Assistant-TDF-Plus-Cairo-Egypt,Full TimeOn-site,TDF Plus,"<span class=""css-5wys0k"">Zamalek, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · females_only · Administration · Operations/Management · Administration · personal assistant
Tax Accountant,https://wuzzuf.net/jobs/p/nYZuCGC4GWjm-Tax-Accountant-Nerhadou-International-Giza-Egypt,Full TimeOn-site,Nerhadou International,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Finance · Tax · Audit
GMP Senior Compliance Specialist,https://wuzzuf.net/jobs/p/WsVnddKFUvIf-GMP-Senior-Compliance-Specialist-Nerhadou-International-Giza-Egypt,Full TimeOn-site,Nerhadou International,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 2 - 5 Yrs of Exp · Pharmaceutical · Pharmaceutical · Quality Assurance
GMP QA Compliance Supervisor,https://wuzzuf.net/jobs/p/vA4qUGLilyjl-GMP-QA-Compliance-Supervisor-Nerhadou-International-Giza-Egypt,Full TimeOn-site,Nerhadou International,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 9 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · QA
Project Coordinator,https://wuzzuf.net/jobs/p/2QxGEJHd5nIU-Project-Coordinator-Dar-Elelm-Giza-Egypt,Full TimeOn-site,Dar Elelm,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · Communication skills · Project Coordination · Administration · Sales
Document Controller / Technical Clerk,https://wuzzuf.net/jobs/p/g/iw9keeDekxGL-Document-Controller-Technical-Clerk-Global-Projects-Services-AG-Doha-Qatar,Freelance / Project,Global Projects Services AG,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Freelance / ProjectManager · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · engineering · computer science · software development · construction · english · installation
Marketing Executive,https://wuzzuf.net/jobs/p/GrmlGZImmP1y-Marketing-Executive-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Administration · Marketing
Deputy Financial Manager,https://wuzzuf.net/jobs/p/WTNvW5MPzJ5t-Deputy-Financial-Manager-MY-WAY-Cairo-Egypt,Full TimeOn-site,MY WAY,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 15+ Yrs of Exp · Accounting/Finance · Finance · Accounting · Cost Accounting · Financial Management · Manufacturing · ERP
General Accountant,https://wuzzuf.net/jobs/p/g/oX3Vdwnz40AE-General-Accountant-EndressHauser-Group-Riyadh-Saudi-Arabia,Full Time,Endress+Hauser Group,"<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeEntry Level · Accounting/Finance · Banking · Logistics/Supply Chain · Accounting · Finance · Financial Analysis · Financial Management · Commerce · Microsoft Office · English
Lab Technician specialist,https://wuzzuf.net/jobs/p/0ZgKyHSh1QVz-Lab-Technician-specialist-Nano-Shield-Cairo-Egypt,Full TimeOn-site,Nano Shield,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · R&D/Science · Chemistry · Lab · Lab technician · Science · technician · Biology
Branch Manager,https://wuzzuf.net/jobs/p/KOBBE6ppOhLw-Branch-Manager-Outlook-Giza-Egypt,Full TimeShift BasedOn-site,Outlook,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeShift BasedOn-siteManager · 4 - 7 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Branch Management · Branch · Communication · Communication skills · Customer Service · Leadership · Management
Fraud Monitoring Analyst,https://wuzzuf.net/jobs/p/g/i05atdlEyz4W-Fraud-Monitoring-Analyst-ADIB---Abu-Dhabi-Islamic-Bank-Dubai-United-Arab-Emirates,Full Time,ADIB Abu Dhabi Islamic Bank,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · Accounting/Finance · Banking · Analyst/Research · Finance · Accounting · Analysis · Banking · Budegting · Budgeting · CMA
Talent Acquisition Specialist (Exp. Must be in Microfinance),https://wuzzuf.net/jobs/p/0AxpILkxqH6I-Talent-Acquisition-Specialist-Exp-Must-be-in-Microfinance-Erada-Cairo-Egypt,Full TimeOn-site,Erada,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Human Resources · MS Office · HR · Hiring · Human Resources (HR) · Recruitment · Interviews · Interviewing · Talent acquisition
Subject Matter Expert,https://wuzzuf.net/jobs/p/g/YiWtSWBqXzQP-Subject-Matter-Expert-dss-Doha-Qatar,Full Time,dss+,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Full TimeExperienced · Customer Service/Support · Analyst/Research · Education/Teaching · Subject Matter Expert · Education · SME · Teaching · Curriculum Development · Educational Consultation · Call Center
Electrical Engineer,https://wuzzuf.net/jobs/p/FIGu2KaMeuc5-Electrical-Engineer-Sigma-Alex-Supplies-Alexandria-Egypt,Full TimeOn-site,Sigma Alex Supplies,"<span class=""css-5wys0k"">Sidi Gaber, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · females_only · Engineering - Mechanical/Electrical · Electrical Engineering · Engineering · Mechanical Engineering · Electrical · Communication · Electrical manufacturing
Mechanical Maintenance Engineer - 10th Of Ramadan,https://wuzzuf.net/jobs/p/3BOBCYHfM609-Mechanical-Maintenance-Engineer---10th-Of-Ramadan-Good-Seal-Packaging-Cairo-Egypt,Full TimeOn-site,Good Seal Packaging  ,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Industrial · Packaging · Maintenance · Mechanical Maintenance
Senior QA Engineer,https://wuzzuf.net/jobs/p/1LrMTeBRRkRU-Senior-QA-Engineer-Keys-Group-Services-Cairo-Egypt,Full TimeOn-site,Keys Group Services,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Automation · Computer Science · Information Technology (IT) · PHP · QA · Quality Assurance · Testing · Selenium
Tele sales Real-estate,https://wuzzuf.net/jobs/p/a37czHZO3Dsc-Tele-sales-Real-estate-Gulf-Data-International-Cairo-Egypt,Full TimeOn-site,Gulf Data International ,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Creative/Design/Art · Customer Service/Support · Sales/Retail · Negotiation · negotiation skills · Real Estate · Sales · sales skills · Sales Target · Skills
Operations Support/ Dispatcher,https://wuzzuf.net/jobs/p/IthPNpF3X0D3-Operations-Support-Dispatcher-Road-Heroes-Cairo-Egypt,Full TimeRemote,Road Heroes ,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · Administration · Operations/Management · Customer Service · Administration · Operations · dispatching · Project Management · Customer Support · English
cost account supervisor,https://wuzzuf.net/jobs/p/CBnk80gKGz1v-cost-account-supervisor-Cairo-Egypt,Full TimeHybrid,Confidential,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeHybridManager · 7 - 9 Yrs of Exp · Accounting/Finance · Hospitality/Hotels/Food Services · Medical/Healthcare · Cost Accounting · Medical · Food & Beverage · costing · Manufacturing Industry · cost accountanting
Senior Social Media Specialist,https://wuzzuf.net/jobs/p/E7bJgYAryGD1-Senior-Social-Media-Specialist-Dr-Brand-Cairo-Egypt,Full TimeOn-site,Dr. Brand,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Google Ads · E-Marketing · Content Creation · Marketing · media · SEO · Social Media · Content
Financial Controller,https://wuzzuf.net/jobs/p/casqFjn6oReE-Financial-Controller-Union-Group-Cairo-Egypt,Full TimeOn-site,Union Group,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 10 - 12 Yrs of Exp · Accounting/Finance · Finance · Financial Controller
Accountant for Freight Forwarding,https://wuzzuf.net/jobs/p/8x2dpMxcWsNP-Accountant-for-Freight-Forwarding-PACK-‘N’-MOVE-LOGISTICS-Cairo-Egypt,Full TimeOn-site,PACK ‘N’ MOVE LOGISTICS ,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · accountant · Accounting · Accounting Software · Communication skills · forwarding · freight · Freight Forwarding · Logistics · Supply Chain
Clienteling Manager,https://wuzzuf.net/jobs/p/g/dowmxIiTLaxM-Clienteling-Manager-Loewe-Dubai-United-Arab-Emirates,Full Time,Loewe,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · Business Development · Customer Service/Support · Sales/Retail · sales · customer service · sales skills · customer support · crm · english · marketing
Fresh Graduate - Excel,https://wuzzuf.net/jobs/p/c5uzDoWM4rIO-Fresh-Graduate---Excel-Emessa-Denim-Beni-Suef-Egypt,Full TimeShift BasedOn-site,Emessa Denim  ,"<span class=""css-5wys0k"">New Beni Suef, <!-- -->Beni Suef, <!-- -->Egypt </span>",Full TimeShift BasedOn-siteEntry Level · Administration · Manufacturing/Production · Microsoft Excel · Marker Making · Design Patterns · Garments · clothes · Tailor · Fashion · Beni Suef
Recruitment Specialist,https://wuzzuf.net/jobs/p/9rB0eS7mHpQT-Recruitment-Specialist-dejavu-Cairo-Egypt,Full TimeOn-site,dejavu,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 2 - 3 Yrs of Exp · Human Resources · Human Resources (HR) · Personnel · Recruitment · HR
Safety Officer,https://wuzzuf.net/jobs/p/BSUqaySNICql-Safety-Officer-Sukari-Gold-Mines-Red-Sea-Egypt,Full TimeOn-site,Sukari Gold Mines,"<span class=""css-5wys0k"">Red Sea, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Other · Health and Safety · OSHA · HSES · Safety · Occupational Safety and Health Administration (OSHA)
Planning and Project Engineer,https://wuzzuf.net/jobs/p/gZAwA9RHpKJ2-Planning-and-Project-Engineer-El-Negma-Pasta-Factory-Cairo-Egypt,Full TimeOn-site,El Negma Pasta Factory ,"<span class=""css-5wys0k"">Shubra, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · Project/Program Management · Engineering - Mechanical/Electrical · Planning · Manufacturing · Production · Engineering · Electrical Engineering · Mechanical Engineering
Intelligence Analyst (Hybrid),https://wuzzuf.net/jobs/p/g/cf0dXyZtmGXk-Intelligence-Analyst-Hybrid-PINKERTON-Comprehensive-Risk-Management-Dubai-United-Arab-Emirates,Full Time,PINKERTON | Comprehensive Risk Management,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Business Intelligence · Computer Science · Information Technology (IT) · Analysis · Engineering · SQL
Electrical Controls Engineer,https://wuzzuf.net/jobs/p/bZR1lHmqt912-Electrical-Controls-Engineer-Economic-Group-Qalubia-Egypt,Full TimeOn-site,Economic Group ,"<span class=""css-5wys0k"">Qaha, <!-- -->Qalubia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · males_only · Engineering - Mechanical/Electrical · Engineering - Other · Mechanical Engineering · Electrical · Engineering · Electrical Engineering
Merchandiser Officer / Fashion Retail,https://wuzzuf.net/jobs/p/1rUe7tw7btP3-Merchandiser-Officer-Fashion-Retail-Al-Nasser-Giza-Egypt,Full TimeOn-site,Al-Nasser ,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Sales/Retail · Retail · Sales
Technical Office Engineer - MEP,https://wuzzuf.net/jobs/p/LxXlHiqmHk4J-Technical-Office-Engineer---MEP-TIC-Cairo-Egypt,Full TimeRemote,TIC,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · AutoCAD · 3D · Electrical Engineering · Engineering · Maintenance · technical · Mechanical Engineering · Mechanical
Manager - Supply Chain Planning GEM,https://wuzzuf.net/jobs/p/g/YOHGO9Lvd6DD-Manager---Supply-Chain-Planning-GEM-Boston-Scientific-Dubai-United-Arab-Emirates,Full Time,Boston Scientific,"<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>",Full TimeExperienced · Administration · Operations/Management · Sales/Retail · Microsoft Office · Sales · Administration · Management · Sales Skills · Office Management · Customer Service
Contracting Officer,https://wuzzuf.net/jobs/p/g/IgeclZOJK3B0-Contracting-Officer-Qatar-Shipyard-Technology-Solutions-Doha-Qatar,Full Time,Qatar Shipyard Technology Solutions,"<span class=""css-5wys0k"">Doha, <!-- -->Qatar </span>",Full TimeEntry Level · Accounting/Finance · Administration · Medical/Healthcare · Administration · Customer Care · Finance · Microsoft Office · Pharmacy · Business Administration · Business Development
Material's and production planning,https://wuzzuf.net/jobs/p/kDSwK5VfLOBN-Materials-and-production-planning-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Communication skills · Manufacturing · Supply Chain · Planning · business · Engineering · English · ERP · Management
Sales Representative,https://wuzzuf.net/jobs/p/1xLcLQHafgVQ-Sales-Representative-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · males_preferred · Customer Service/Support · Sales/Retail · sales skills · Sales · Printers · Retail Business · Wholesale · Sales Target · Management · Time Management
